Family;Glyph;Height;Width
Din Condensed;o;129;77
Din Condensed;p;179;77
Din Condensed;x;125;88
FF Clan;H;188;136
FF Clan;a;154;106
FF Clan;k;201;113
FF Clan;o;155;125
FF Clan;p;188;119
FF Clan;x;148;123
FF DIN;H;179;124
FF DIN;a;127;99
FF DIN;k;179;104
FF DIN;o;127;101
FF DIN;p;181;99
FF DIN;x;124;104
FF Mark;H;176;147
FF Mark;a;125;123
FF Mark;k;181;107
FF Mark;o;125;126
FF Mark;p;173;123
FF Mark;x;119;120
Frutiger;H;175;135
Frutiger;a;134;110
Frutiger;k;188;115
Frutiger;o;134;131
Frutiger;p;184;122
Frutiger;x;128;121
Futura PT;H;168;123
Futura PT;a;113;108
Futura PT;k;183;95
Futura PT;o;113;113
Futura PT;p;167;108
Futura PT;x;106;122
Galano Grotesque;H;168;141
Galano Grotesque;a;131;131
Galano Grotesque;k;181;121
Galano Grotesque;o;130;132
Galano Grotesque;p;170;130
Galano Grotesque;x;124;123
Geogrotesque;H;171;110
Geogrotesque;a;128;94
Geogrotesque;k;176;94
Geogrotesque;o;128;95
Geogrotesque;p;178;96
Geogrotesque;x;124;102
Gilroy;H;176;131
Gilroy;a;132;132
Gilroy;k;176;102
Gilroy;o;132;132
Gilroy;p;180;133
Gilroy;x;126;118
Helvetica Now;H;179;142
Helvetica Now;a;138;125
Helvetica Now;k;179;113
Helvetica Now;o;137;126
Helvetica Now;p;185;119
Helvetica Now;x;130;129
Helvetica;H;180;143
Helvetica;a;139;124
Helvetica;k;180;110
Helvetica;o;139;123
Helvetica;p;187;116
Helvetica;x;132;120
ITC Avant Garde Gothic;H;186;134
ITC Avant Garde Gothic;a;145;146
ITC Avant Garde Gothic;k;186;108
ITC Avant Garde Gothic;o;145;144
ITC Avant Garde Gothic;p;190;146
ITC Avant Garde Gothic;x;138;115
Intro;H;176;140
Intro;a;127;127
Intro;k;176;109
Intro;o;127;130
Intro;p;177;143
Intro;x;121;118
Mont;H;176;136
Mont;a;142;144
Mont;k;184;115
Mont;o;142;145
Mont;p;188;142
Mont;x;136;125
Neue Haas Grotesk;H;187;148
Neue Haas Grotesk;a;141;128
Neue Haas Grotesk;k;187;116
Neue Haas Grotesk;o;142;133
Neue Haas Grotesk;p;184;125
Neue Haas Grotesk;x;135;130
Neue Helvetica;H;179;143
Neue Helvetica;a;136;122
Neue Helvetica;k;179;113
Neue Helvetica;o;136;126
Neue Helvetica;p;183;124
