Family;Category;Glyph;Height;Width
Circuit;Slab;x;133;134
Clarendon BT Std Light;Slab;H;169;196
Clarendon BT Std Light;Slab;a;128;133
Clarendon BT Std Light;Slab;k;169;151
Clarendon BT Std Light;Slab;o;128;131
Clarendon BT Std Light;Slab;p;176;140
Clarendon BT Std Light;Slab;x;119;145
Clarendon BT Std Roman;Slab;H;169;198
Clarendon BT Std Roman;Slab;a;128;136
Clarendon BT Std Roman;Slab;k;169;156
Clarendon BT Std Roman;Slab;o;128;134
Clarendon BT Std Roman;Slab;p;176;144
Clarendon BT Std Roman;Slab;x;119;158
Courier New OS Regular;Slab;H;144;126
Courier New OS Regular;Slab;a;114;119
Courier New OS Regular;Slab;k;154;121
Courier New OS Regular;Slab;o;114;116
Courier New OS Regular;Slab;p;158;131
Courier New OS Regular;Slab;x;106;127
DIN Next Slab;Slab;H;171;155
DIN Next Slab;Slab;a;126;113
DIN Next Slab;Slab;k;171;124
DIN Next Slab;Slab;o;126;104
DIN Next Slab;Slab;p;169;119
DIN Next Slab;Slab;x;121;111
Egyptian Slate Pro Regular;Slab;H;160;168
Egyptian Slate Pro Regular;Slab;a;122;115
Egyptian Slate Pro Regular;Slab;k;165;134
Egyptian Slate Pro Regular;Slab;o;122;113
Egyptian Slate Pro Regular;Slab;p;162;130
Egyptian Slate Pro Regular;Slab;x;116;127
FF Ernestine Pro Regular;Slab;H;13;120
FF Ernestine Pro Regular;Slab;a;13;120
FF Ernestine Pro Regular;Slab;k;13;120
FF Ernestine Pro Regular;Slab;o;13;120
FF Ernestine Pro Regular;Slab;p;13;120
FF Ernestine Pro Regular;Slab;x;13;120
Foro Rounded Regular;Slab;H;170;182
Foro Rounded Regular;Slab;a;133;124
Foro Rounded Regular;Slab;k;186;144
Foro Rounded Regular;Slab;o;133;119
Foro Rounded Regular;Slab;p;190;134
Foro Rounded Regular;Slab;x;125;141
Glypha Pro 55 Roman;Slab;H;180;181
Glypha Pro 55 Roman;Slab;a;137;125
Glypha Pro 55 Roman;Slab;k;180;131
Glypha Pro 55 Roman;Slab;o;137;122
Glypha Pro 55 Roman;Slab;p;176;140
Glypha Pro 55 Roman;Slab;x;131;133
Henderson Slab Regular;Slab;H;172;201
Henderson Slab Regular;Slab;a;138;154
Henderson Slab Regular;Slab;k;174;163
Henderson Slab Regular;Slab;o;140;139
Henderson Slab Regular;Slab;p;187;154
Henderson Slab Regular;Slab;x;130;158
ITC American Typewriter Std Medium;Slab;H;175;192
ITC American Typewriter Std Medium;Slab;a;139;141
ITC American Typewriter Std Medium;Slab;k;177;157
ITC American Typewriter Std Medium;Slab;o;139;122
ITC American Typewriter Std Medium;Slab;p;180;142
ITC American Typewriter Std Medium;Slab;x;131;160
Klose Slab Regular;Slab;H;176;266
Klose Slab Regular;Slab;a;146;219
Klose Slab Regular;Slab;k;195;238
Klose Slab Regular;Slab;o;146;193
Klose Slab Regular;Slab;p;193;216
Klose Slab Regular;Slab;x;138;219
LTC Squareface Regular;Slab;H;176;189
LTC Squareface Regular;Slab;a;116;130
LTC Squareface Regular;Slab;k;176;141
LTC Squareface Regular;Slab;o;115;117
LTC Squareface Regular;Slab;p;160;139
LTC Squareface Regular;Slab;x;115;127
Leto Two;Slab;H;174;188
Leto Two;Slab;a;134;130
Leto Two;Slab;k;185;157
Leto Two;Slab;o;134;139
Leto Two;Slab;p;183;155
Leto Two;Slab;x;134;156
Mortise X Bold;Slab;H;163;176
Mortise X Bold;Slab;a;130;136
Mortise X Bold;Slab;k;175;148
Mortise X Bold;Slab;o;130;133
Mortise X Bold;Slab;p;178;147
Mortise X Bold;Slab;x;125;135
Museo Slab 500;Slab;H;177;187
Museo Slab 500;Slab;a;133;125
Museo Slab 500;Slab;k;177;133
Museo Slab 500;Slab;o;133;137
Museo Slab 500;Slab;p;181;143
Museo Slab 500;Slab;x;127;126
Museo 500;Slab;H;177;174
Museo 500;Slab;a;133;123
Museo 500;Slab;k;177;125
Museo 500;Slab;o;133;137
Museo 500;Slab;p;181;138
Museo 500;Slab;x;127;116
Newslab Thin;Slab;H;173;179
Newslab Thin;Slab;a;121;112
Newslab Thin;Slab;k;187;130
Newslab Thin;Slab;o;121;114
Newslab Thin;Slab;p;189;126
Newslab Thin;Slab;x;118;127
Nexa Slab Regular;Slab;H;176;184
Nexa Slab Regular;Slab;a;130;151
Nexa Slab Regular;Slab;k;176;132
Nexa Slab Regular;Slab;o;130;130
Nexa Slab Regular;Slab;p;186;151
Nexa Slab Regular;Slab;x;124;125
PMN Caecilia Pro 55 Roman;Slab;H;176;175
PMN Caecilia Pro 55 Roman;Slab;a;136;120
PMN Caecilia Pro 55 Roman;Slab;k;193;139
PMN Caecilia Pro 55 Roman;Slab;o;136;127
PMN Caecilia Pro 55 Roman;Slab;p;196;140
PMN Caecilia Pro 55 Roman;Slab;x;130;137
Rockwell Std Roman;Slab;H;171;165
Rockwell Std Roman;Slab;a;124;120
Rockwell Std Roman;Slab;k;171;137
Rockwell Std Roman;Slab;o;126;126
Rockwell Std Roman;Slab;p;175;146
Rockwell Std Roman;Slab;x;119;131
Sagona Book;Slab;H;171;183
Sagona Book;Slab;a;131;124
Sagona Book;Slab;k;171;141
Sagona Book;Slab;o;131;127
Sagona Book;Slab;p;174;145
Sagona Book;Slab;x;126;137
Sketch Block Bold;Slab;H;179;184
Sketch Block Bold;Slab;a;131;130
Sketch Block Bold;Slab;k;183;157
Sketch Block Bold;Slab;o;127;136
Sketch Block Bold;Slab;p;192;157
Sketch Block Bold;Slab;x;129;142
Smart Chameleon Regular;Slab;H;142;127
Smart Chameleon Regular;Slab;a;116;118
Smart Chameleon Regular;Slab;k;148;116
Smart Chameleon Regular;Slab;o;110;108
Smart Chameleon Regular;Slab;p;152;122
Smart Chameleon Regular;Slab;x;103;137
Suomi Slab Serif Book;Slab;H;174;183
Suomi Slab Serif Book;Slab;a;139;137
Suomi Slab Serif Book;Slab;k;174;142
Suomi Slab Serif Book;Slab;o;139;123
Suomi Slab Serif Book;Slab;p;180;138
Suomi Slab Serif Book;Slab;x;128;142
Technotyp Regular;Slab;H;168;162
Technotyp Regular;Slab;a;112;103
Technotyp Regular;Slab;k;168;116
Technotyp Regular;Slab;o;112;102
Technotyp Regular;Slab;p;147;110
Technotyp Regular;Slab;x;105;114
Vista Slab Regular;Slab;H;169;160
Vista Slab Regular;Slab;a;137;117
Vista Slab Regular;Slab;k;190;121
Vista Slab Regular;Slab;o;137;113
Vista Slab Regular;Slab;p;186;123
Vista Slab Regular;Slab;x;136;119
