Family;Category;Glyph;Height;Width
Din Condensed Variable;Sans;H;176;84
Din Condensed Variable;Sans;a;129;77
Din Condensed Variable;Sans;k;176;88
Din Condensed Variable;Sans;o;129;77
Din Condensed Variable;Sans;p;179;77
Din Condensed Variable;Sans;x;125;88
FF Clan Std Regular;Sans;H;188;136
FF Clan Std Regular;Sans;a;154;106
FF Clan Std Regular;Sans;k;201;113
FF Clan Std Regular;Sans;o;155;125
FF Clan Std Regular;Sans;p;188;119
FF Clan Std Regular;Sans;x;148;123
FF DIN Std Regular;Sans;H;179;124
FF DIN Std Regular;Sans;a;127;99
FF DIN Std Regular;Sans;k;179;104
FF DIN Std Regular;Sans;o;127;101
FF DIN Std Regular;Sans;p;181;99
FF DIN Std Regular;Sans;x;124;104
FF Mark Pro Regular;Sans;H;176;147
FF Mark Pro Regular;Sans;a;125;123
FF Mark Pro Regular;Sans;k;181;107
FF Mark Pro Regular;Sans;o;125;126
FF Mark Pro Regular;Sans;p;173;123
FF Mark Pro Regular;Sans;x;119;120
Futura PT Medium;Sans;H;168;123
Futura PT Medium;Sans;a;113;108
Futura PT Medium;Sans;k;183;95
Futura PT Medium;Sans;o;113;113
Futura PT Medium;Sans;p;167;108
Futura PT Medium;Sans;x;106;122
Galano Grotesque Regular;Sans;H;168;141
Galano Grotesque Regular;Sans;a;131;131
Galano Grotesque Regular;Sans;k;181;121
Galano Grotesque Regular;Sans;o;130;132
Galano Grotesque Regular;Sans;p;170;130
Galano Grotesque Regular;Sans;x;124;123
Geogrotesque Regular;Sans;H;171;110
Geogrotesque Regular;Sans;a;128;94
Geogrotesque Regular;Sans;k;176;94
Geogrotesque Regular;Sans;o;128;95
Geogrotesque Regular;Sans;p;178;96
Geogrotesque Regular;Sans;x;124;102
Gilroy Regular;Sans;H;176;131
Gilroy Regular;Sans;a;132;132
Gilroy Regular;Sans;k;176;102
Gilroy Regular;Sans;o;132;132
Gilroy Regular;Sans;p;180;133
Gilroy Regular;Sans;x;126;118
Helvetica Now Text Regular;Sans;H;179;142
Helvetica Now Text Regular;Sans;a;138;125
Helvetica Now Text Regular;Sans;k;179;113
Helvetica Now Text Regular;Sans;o;137;126
Helvetica Now Text Regular;Sans;p;185;119
Helvetica Now Text Regular;Sans;x;130;129
Helvetica Regular;Sans;H;180;143
Helvetica Regular;Sans;a;139;124
Helvetica Regular;Sans;k;180;110
Helvetica Regular;Sans;o;139;123
Helvetica Regular;Sans;p;187;116
Helvetica Regular;Sans;x;132;120
ITC Avant Garde Gothic Book;Sans;H;186;134
ITC Avant Garde Gothic Book;Sans;a;145;146
ITC Avant Garde Gothic Book;Sans;k;186;108
ITC Avant Garde Gothic Book;Sans;o;145;144
ITC Avant Garde Gothic Book;Sans;p;190;146
ITC Avant Garde Gothic Book;Sans;x;138;115
Mont Regular;Sans;H;176;136
Mont Regular;Sans;a;142;144
Mont Regular;Sans;k;184;115
Mont Regular;Sans;o;142;145
Mont Regular;Sans;p;188;142
Mont Regular;Sans;x;136;125
Neue Haas Grotesk Text 55 Roman;Sans;H;187;148
Neue Haas Grotesk Text 55 Roman;Sans;a;141;128
Neue Haas Grotesk Text 55 Roman;Sans;k;187;116
Neue Haas Grotesk Text 55 Roman;Sans;o;142;133
Neue Haas Grotesk Text 55 Roman;Sans;p;184;125
