category;family;style;glyph;regions;straights;angles;curves
slab serif;Breton;Breton Bold;k;1;15;18;2
slab serif;Breton;Breton Bold;o;2;6;0;16
slab serif;Breton;Breton Bold;p;2;10;12;10
slab serif;Breton;Breton Bold;x;1;16;14;8
slab serif;Breton;Breton Book Italic;a;2;10;8;17
slab serif;Breton;Breton Book Italic;H;1;26;28;3
slab serif;Breton;Breton Book Italic;k;1;19;21;7
slab serif;Breton;Breton Book Italic;o;2;5;0;20
slab serif;Breton;Breton Book Italic;p;3;10;12;14
slab serif;Breton;Breton Book Italic;x;1;14;17;11
slab serif;Breton;Breton Book;a;2;12;8;16
slab serif;Breton;Breton Book;H;1;27;28;0
slab serif;Breton;Breton Book;k;1;19;20;2
slab serif;Breton;Breton Book;o;2;8;0;17
slab serif;Breton;Breton Book;p;2;10;12;13
slab serif;Breton;Breton Book;x;1;19;18;8
slab serif;Breton;Breton Hair Italic;a;3;16;8;19
slab serif;Breton;Breton Hair Italic;H;1;20;20;0
slab serif;Breton;Breton Hair Italic;k;1;20;20;6
slab serif;Breton;Breton Hair Italic;o;2;11;0;17
slab serif;Breton;Breton Hair Italic;p;3;11;12;14
slab serif;Breton;Breton Hair Italic;x;1;24;24;6
slab serif;Breton;Breton Hair;a;2;16;8;17
slab serif;Breton;Breton Hair;H;1;25;28;0
slab serif;Breton;Breton Hair;k;1;18;20;2
slab serif;Breton;Breton Hair;o;2;13;0;20
slab serif;Breton;Breton Hair;p;2;10;12;14
slab serif;Breton;Breton Hair;x;1;25;25;6
slab serif;Breton;Breton Light Italic;a;2;10;8;19
slab serif;Breton;Breton Light Italic;H;1;27;28;2
slab serif;Breton;Breton Light Italic;k;1;21;22;5
slab serif;Breton;Breton Light Italic;o;2;9;0;17
slab serif;Breton;Breton Light Italic;p;2;9;12;16
slab serif;Breton;Breton Light Italic;x;1;18;23;11
slab serif;Breton;Breton Light;a;2;12;8;15
slab serif;Breton;Breton Light;H;1;26;28;0
slab serif;Breton;Breton Light;k;1;19;20;4
slab serif;Breton;Breton Light;o;2;7;0;16
slab serif;Breton;Breton Light;p;2;11;12;13
slab serif;Breton;Breton Light;x;1;16;16;7
slab serif;Breton;Breton Medium Italic;a;2;7;8;15
slab serif;Breton;Breton Medium Italic;H;1;26;28;2
slab serif;Breton;Breton Medium Italic;k;2;16;20;7
slab serif;Breton;Breton Medium Italic;o;2;7;0;15
slab serif;Breton;Breton Medium Italic;p;2;10;12;12
slab serif;Breton;Breton Medium Italic;x;1;15;17;12
slab serif;Breton;Breton Medium;a;2;11;8;12
slab serif;Breton;Breton Medium;H;1;27;28;0
slab serif;Breton;Breton Medium;k;1;18;18;5
slab serif;Breton;Breton Medium;o;2;7;0;17
slab serif;Breton;Breton Medium;p;2;11;12;10
slab serif;Breton;Breton Medium;x;1;19;17;4
slab serif;Breton;Breton Regular Italic;a;2;8;8;20
slab serif;Breton;Breton Regular Italic;H;1;25;28;6
slab serif;Breton;Breton Regular Italic;k;1;19;22;7
slab serif;Breton;Breton Regular Italic;o;2;8;0;17
slab serif;Breton;Breton Regular Italic;p;2;12;12;11
slab serif;Breton;Breton Regular Italic;x;1;13;16;12
slab serif;Breton;Breton Regular;a;2;12;8;13
slab serif;Breton;Breton Regular;H;1;27;28;0
slab serif;Breton;Breton Regular;k;1;18;19;2
slab serif;Breton;Breton Regular;o;2;6;0;18
slab serif;Breton;Breton Regular;p;2;10;12;13
slab serif;Breton;Breton Regular;x;1;17;16;4
slab serif;Breton;Breton Semi Bold Italic;a;2;5;8;15
slab serif;Breton;Breton Semi Bold Italic;H;1;26;28;2
slab serif;Breton;Breton Semi Bold Italic;k;2;12;18;9
slab serif;Breton;Breton Semi Bold Italic;o;2;5;0;17
slab serif;Breton;Breton Semi Bold Italic;p;2;7;12;10
slab serif;Breton;Breton Semi Bold Italic;x;1;15;16;8
slab serif;Breton;Breton Semi Bold;a;2;11;8;15
slab serif;Breton;Breton Semi Bold;H;1;27;28;0
slab serif;Breton;Breton Semi Bold;k;1;14;17;4
slab serif;Breton;Breton Semi Bold;o;2;5;0;15
slab serif;Breton;Breton Semi Bold;p;2;11;12;12
slab serif;Breton;Breton Semi Bold;x;1;17;15;7
slab serif;Breton;Breton Thin Italic;a;2;11;8;17
slab serif;Breton;Breton Thin Italic;H;1;28;28;3
slab serif;Breton;Breton Thin Italic;k;1;20;20;5
slab serif;Breton;Breton Thin Italic;o;2;9;0;20
slab serif;Breton;Breton Thin Italic;p;2;11;12;14
slab serif;Breton;Breton Thin Italic;x;1;24;25;6
slab serif;Breton;Breton Thin;a;2;15;8;16
slab serif;Breton;Breton Thin;H;1;25;28;0
slab serif;Breton;Breton Thin;k;1;19;20;2
slab serif;Breton;Breton Thin;o;2;10;0;18
slab serif;Breton;Breton Thin;p;2;9;12;14
slab serif;Breton;Breton Thin;x;1;24;23;8
slab serif;Breton;Breton Ultra Light Italic;a;2;11;8;19
slab serif;Breton;Breton Ultra Light Italic;H;1;28;28;2
slab serif;Breton;Breton Ultra Light Italic;k;1;17;20;8
slab serif;Breton;Breton Ultra Light Italic;o;2;10;0;19
slab serif;Breton;Breton Ultra Light Italic;p;2;9;12;16
slab serif;Breton;Breton Ultra Light Italic;x;1;20;25;9
slab serif;Breton;Breton Ultra Light;a;2;13;8;15
slab serif;Breton;Breton Ultra Light;H;1;25;28;0
slab serif;Breton;Breton Ultra Light;k;1;19;20;4
slab serif;Breton;Breton Ultra Light;o;2;9;0;19
slab serif;Breton;Breton Ultra Light;p;2;9;12;15
slab serif;Breton;Breton Ultra Light;x;1;25;25;5
slab serif;Breve Slab Text;Breve Slab Text Black Italic;a;2;5;5;15
slab serif;Breve Slab Text;Breve Slab Text Black Italic;H;1;18;23;8
slab serif;Breve Slab Text;Breve Slab Text Black Italic;k;2;6;12;8
slab serif;Breve Slab Text;Breve Slab Text Black Italic;o;2;7;0;15
slab serif;Breve Slab Text;Breve Slab Text Black Italic;p;2;10;11;8
slab serif;Breve Slab Text;Breve Slab Text Black Italic;x;1;8;13;10
slab serif;Breve Slab Text;Breve Slab Text Black;a;2;8;8;13
slab serif;Breve Slab Text;Breve Slab Text Black;H;1;15;22;8
slab serif;Breve Slab Text;Breve Slab Text Black;k;2;12;15;6
slab serif;Breve Slab Text;Breve Slab Text Black;o;2;7;0;16
slab serif;Breve Slab Text;Breve Slab Text Black;p;2;7;12;9
slab serif;Breve Slab Text;Breve Slab Text Black;x;1;14;15;8
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;a;3;7;5;16
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;H;1;20;24;7
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;k;2;7;12;8
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;o;2;5;0;18
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;p;2;9;11;11
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;x;1;11;13;11
slab serif;Breve Slab Text;Breve Slab Text Bold;a;2;7;8;13
slab serif;Breve Slab Text;Breve Slab Text Bold;H;1;16;22;7
slab serif;Breve Slab Text;Breve Slab Text Bold;k;2;12;16;6
slab serif;Breve Slab Text;Breve Slab Text Bold;o;2;6;0;16
slab serif;Breve Slab Text;Breve Slab Text Bold;p;2;7;11;11
slab serif;Breve Slab Text;Breve Slab Text Bold;x;1;16;14;8
slab serif;Breve Slab Text;Breve Slab Text Book Italic;a;2;7;6;15
slab serif;Breve Slab Text;Breve Slab Text Book Italic;H;1;21;22;6
slab serif;Breve Slab Text;Breve Slab Text Book Italic;k;2;8;11;6
slab serif;Breve Slab Text;Breve Slab Text Book Italic;o;2;5;0;19
slab serif;Breve Slab Text;Breve Slab Text Book Italic;p;2;9;12;14
slab serif;Breve Slab Text;Breve Slab Text Book Italic;x;1;10;13;7
slab serif;Breve Slab Text;Breve Slab Text Book;a;2;8;8;15
slab serif;Breve Slab Text;Breve Slab Text Book;H;1;19;21;8
slab serif;Breve Slab Text;Breve Slab Text Book;k;2;12;13;9
slab serif;Breve Slab Text;Breve Slab Text Book;o;2;8;0;16
slab serif;Breve Slab Text;Breve Slab Text Book;p;2;10;11;12
slab serif;Breve Slab Text;Breve Slab Text Book;x;1;16;14;7
slab serif;Breve Slab Text;Breve Slab Text Light Italic;a;2;4;6;16
slab serif;Breve Slab Text;Breve Slab Text Light Italic;H;1;21;24;5
slab serif;Breve Slab Text;Breve Slab Text Light Italic;k;2;9;10;5
slab serif;Breve Slab Text;Breve Slab Text Light Italic;o;2;8;0;20
slab serif;Breve Slab Text;Breve Slab Text Light Italic;p;2;12;12;9
slab serif;Breve Slab Text;Breve Slab Text Light Italic;x;1;10;13;9
slab serif;Breve Slab Text;Breve Slab Text Light;a;2;8;7;13
slab serif;Breve Slab Text;Breve Slab Text Light;H;1;19;21;6
slab serif;Breve Slab Text;Breve Slab Text Light;k;2;12;14;7
slab serif;Breve Slab Text;Breve Slab Text Light;o;2;8;0;16
slab serif;Breve Slab Text;Breve Slab Text Light;p;2;8;11;11
slab serif;Breve Slab Text;Breve Slab Text Light;x;1;13;13;10
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;a;2;5;5;16
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;H;1;18;24;6
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;k;2;9;12;6
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;o;2;6;0;16
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;p;2;7;11;14
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;x;1;11;11;10
slab serif;Breve Slab Text;Breve Slab Text Medium;a;2;10;8;15
slab serif;Breve Slab Text;Breve Slab Text Medium;H;1;19;22;8
slab serif;Breve Slab Text;Breve Slab Text Medium;k;2;12;14;7
slab serif;Breve Slab Text;Breve Slab Text Medium;o;2;11;0;17
slab serif;Breve Slab Text;Breve Slab Text Medium;p;2;8;10;12
slab serif;Breve Slab Text;Breve Slab Text Medium;x;1;16;14;8
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;a;2;5;5;16
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;H;1;16;24;9
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;k;2;9;12;7
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;o;2;7;0;15
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;p;2;9;11;13
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;x;1;15;13;9
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;a;2;6;7;14
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;H;1;18;24;8
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;k;2;13;15;6
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;o;2;10;0;16
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;p;2;6;10;12
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;x;1;16;15;8
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;a;2;7;7;17
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;H;1;22;28;6
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;k;1;14;20;9
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;o;2;10;0;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;p;2;11;11;9
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;x;1;13;17;12
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;a;2;8;9;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;H;1;27;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;k;1;18;22;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;o;2;7;0;18
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;p;2;13;12;10
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;x;1;21;19;10
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;a;2;7;4;15
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;H;1;24;28;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;k;1;14;20;7
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;o;2;11;0;20
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;p;2;12;12;8
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;x;1;15;18;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;a;2;7;8;17
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;H;1;27;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;k;1;18;21;4
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;o;2;6;0;16
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;p;2;11;12;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;x;1;20;19;9
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;a;2;9;8;15
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;H;1;26;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;k;1;20;22;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;o;2;6;0;15
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;p;2;12;12;8
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;x;1;22;21;7
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;a;2;9;6;20
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;H;1;28;28;2
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;k;1;17;20;7
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;o;2;8;0;21
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;p;2;13;12;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;x;1;13;17;13
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;a;2;10;7;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;H;1;26;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;k;1;21;22;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;o;2;4;0;14
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;p;2;12;12;12
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;x;1;22;22;5
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;a;2;6;5;18
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;H;1;26;28;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;k;1;16;20;7
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;o;2;6;0;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;p;2;13;11;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;x;1;15;19;12
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;a;2;5;5;17
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;H;1;26;28;4
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;k;1;17;20;6
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;o;2;8;0;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;p;2;12;12;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;x;1;17;18;9
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;a;2;9;7;19
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;H;1;26;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;k;1;20;22;3
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;o;2;4;0;17
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;p;2;12;12;13
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;x;1;23;23;6
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;a;2;7;5;16
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;H;1;26;28;2
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;k;1;16;20;7
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;o;2;7;0;22
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;p;2;12;12;13
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;x;1;15;18;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;a;2;9;8;18
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;H;1;27;28;0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;k;1;19;22;4
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;o;2;5;0;17
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;p;2;13;12;11
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;x;1;22;22;7
slab serif;Brix Slab™;Brix Slab Black Italic;a;2;5;6;15
slab serif;Brix Slab™;Brix Slab Black Italic;H;1;28;28;0
slab serif;Brix Slab™;Brix Slab Black Italic;k;1;18;21;6
slab serif;Brix Slab™;Brix Slab Black Italic;o;2;6;0;17
slab serif;Brix Slab™;Brix Slab Black Italic;p;2;13;12;10
slab serif;Brix Slab™;Brix Slab Black Italic;x;1;14;19;10
slab serif;Brix Slab™;Brix Slab Black;a;2;9;9;16
slab serif;Brix Slab™;Brix Slab Black;H;1;27;28;0
slab serif;Brix Slab™;Brix Slab Black;k;1;19;22;3
slab serif;Brix Slab™;Brix Slab Black;o;2;9;0;18
slab serif;Brix Slab™;Brix Slab Black;p;2;11;14;9
slab serif;Brix Slab™;Brix Slab Black;x;1;18;20;6
slab serif;Brix Slab™;Brix Slab Bold Italic;a;2;6;5;16
slab serif;Brix Slab™;Brix Slab Bold Italic;H;1;28;28;0
slab serif;Brix Slab™;Brix Slab Bold Italic;k;1;16;20;5
slab serif;Brix Slab™;Brix Slab Bold Italic;o;2;7;0;20
slab serif;Brix Slab™;Brix Slab Bold Italic;p;2;11;12;13
slab serif;Brix Slab™;Brix Slab Bold Italic;x;1;12;19;11
slab serif;Brix Slab™;Brix Slab Bold;a;2;11;9;14
slab serif;Brix Slab™;Brix Slab Bold;H;1;27;28;0
slab serif;Brix Slab™;Brix Slab Bold;k;1;17;21;4
slab serif;Brix Slab™;Brix Slab Bold;o;2;6;0;19
slab serif;Brix Slab™;Brix Slab Bold;p;2;11;12;11
slab serif;Brix Slab™;Brix Slab Bold;x;1;16;20;9
slab serif;Brix Slab™;Brix Slab Brix Slab;a;2;9;8;16
slab serif;Brix Slab™;Brix Slab Brix Slab;H;1;26;28;0
slab serif;Brix Slab™;Brix Slab Brix Slab;k;1;19;21;4
slab serif;Brix Slab™;Brix Slab Brix Slab;o;2;10;0;21
slab serif;Brix Slab™;Brix Slab Brix Slab;p;2;11;12;9
slab serif;Brix Slab™;Brix Slab Brix Slab;x;1;20;18;11
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;H;1;26;28;2
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;k;1;17;20;9
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;o;2;7;0;20
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;p;2;12;12;13
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;x;1;15;19;12
slab serif;Brix Slab™;Brix Slab ExtraLight;a;2;12;9;18
slab serif;Brix Slab™;Brix Slab ExtraLight;H;1;25;28;0
slab serif;Brix Slab™;Brix Slab ExtraLight;k;1;19;21;3
slab serif;Brix Slab™;Brix Slab ExtraLight;o;2;10;0;20
slab serif;Brix Slab™;Brix Slab ExtraLight;p;2;11;12;12
slab serif;Brix Slab™;Brix Slab ExtraLight;x;1;20;20;7
slab serif;Brix Slab™;Brix Slab Italic;a;2;10;6;17
slab serif;Brix Slab™;Brix Slab Italic;H;1;27;28;2
slab serif;Brix Slab™;Brix Slab Italic;k;1;15;20;8
slab serif;Brix Slab™;Brix Slab Italic;o;2;7;0;21
slab serif;Brix Slab™;Brix Slab Italic;p;2;12;12;11
slab serif;Brix Slab™;Brix Slab Italic;x;1;15;19;9
slab serif;Brix Slab™;Brix Slab Light Italic;a;2;7;5;17
slab serif;Brix Slab™;Brix Slab Light Italic;H;1;26;28;2
slab serif;Brix Slab™;Brix Slab Light Italic;k;1;15;20;7
slab serif;Brix Slab™;Brix Slab Light Italic;o;2;7;0;20
slab serif;Brix Slab™;Brix Slab Light Italic;p;2;10;11;12
slab serif;Brix Slab™;Brix Slab Light Italic;x;1;16;20;11
slab serif;Brix Slab™;Brix Slab Light;a;2;10;9;17
slab serif;Brix Slab™;Brix Slab Light;H;1;26;28;0
slab serif;Brix Slab™;Brix Slab Light;k;1;19;20;4
slab serif;Brix Slab™;Brix Slab Light;o;2;9;0;22
slab serif;Brix Slab™;Brix Slab Light;p;2;11;12;11
slab serif;Brix Slab™;Brix Slab Light;x;1;20;20;8
slab serif;Brix Slab™;Brix Slab Medium Italic;a;2;8;6;14
slab serif;Brix Slab™;Brix Slab Medium Italic;H;1;27;28;2
slab serif;Brix Slab™;Brix Slab Medium Italic;k;1;17;20;4
slab serif;Brix Slab™;Brix Slab Medium Italic;o;2;6;0;21
slab serif;Brix Slab™;Brix Slab Medium Italic;p;2;10;13;12
slab serif;Brix Slab™;Brix Slab Medium Italic;x;1;13;19;12
slab serif;Brix Slab™;Brix Slab Medium;a;2;8;6;19
slab serif;Brix Slab™;Brix Slab Medium;H;1;27;28;0
slab serif;Brix Slab™;Brix Slab Medium;k;1;19;21;4
slab serif;Brix Slab™;Brix Slab Medium;o;2;7;0;19
slab serif;Brix Slab™;Brix Slab Medium;p;2;12;12;11
slab serif;Brix Slab™;Brix Slab Medium;x;1;20;20;9
slab serif;Brossard;Brossard;a;2;18;18;0
slab serif;Brossard;Brossard;H;1;25;28;0
slab serif;Brossard;Brossard;k;1;22;25;7
slab serif;Brossard;Brossard;o;2;5;0;19
slab serif;Brossard;Brossard;p;2;13;12;6
slab serif;Brossard;Brossard;x;1;22;24;10
slab serif;Brossard;Brossard Outline;a;4;29;30;7
slab serif;Brossard;Brossard Outline;H;2;39;45;8
slab serif;Brossard;Brossard Outline;k;2;30;32;20
slab serif;Brossard;Brossard Outline;o;4;6;0;28
slab serif;Brossard;Brossard Outline;p;4;22;18;15
slab serif;Brossard;Brossard Outline;x;2;32;31;23
slab serif;Brussels City;Brussels City Italic;a;2;5;7;16
slab serif;Brussels City;Brussels City Italic;H;1;28;28;0
slab serif;Brussels City;Brussels City Italic;k;2;15;19;3
slab serif;Brussels City;Brussels City Italic;o;2;6;0;16
slab serif;Brussels City;Brussels City Italic;p;3;9;11;10
slab serif;Brussels City;Brussels City Italic;x;1;9;14;11
slab serif;Brussels City;Brussels City Regular;a;2;4;6;19
slab serif;Brussels City;Brussels City Regular;H;1;26;28;0
slab serif;Brussels City;Brussels City Regular;k;1;18;23;5
slab serif;Brussels City;Brussels City Regular;o;2;6;0;16
slab serif;Brussels City;Brussels City Regular;p;2;9;11;10
slab serif;Brussels City;Brussels City Regular;x;1;15;15;12
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;a;2;7;5;14
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;H;1;27;28;2
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;k;2;12;13;7
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;o;2;6;0;14
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;p;3;9;8;7
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;x;1;8;11;14
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;a;2;10;12;13
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;H;1;27;28;0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;k;1;16;19;3
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;o;2;7;1;11
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;p;2;11;12;9
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;x;1;16;17;7
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;a;2;11;5;17
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;H;1;25;28;5
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;k;1;12;14;8
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;o;2;7;0;17
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;p;2;8;9;9
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;x;1;13;14;9
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;a;2;7;6;17
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;H;1;28;28;0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;k;1;12;14;7
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;o;2;5;0;15
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;p;2;8;9;10
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;x;1;10;12;12
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;a;2;12;12;17
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;H;1;27;28;0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;k;1;16;19;3
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;o;2;9;0;17
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;p;2;13;12;8
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;x;1;17;17;4
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;a;2;14;11;18
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;H;1;25;28;0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;k;1;16;16;6
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;o;2;5;0;18
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;p;2;12;12;12
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;x;1;18;17;5
slab serif;Bumbon;Bumbon Bold Italic;a;2;10;11;0
slab serif;Bumbon;Bumbon Bold Italic;H;1;12;12;0
slab serif;Bumbon;Bumbon Bold Italic;k;1;11;9;3
slab serif;Bumbon;Bumbon Bold Italic;o;2;2;0;14
slab serif;Bumbon;Bumbon Bold Italic;p;2;7;6;5
slab serif;Bumbon;Bumbon Bold Italic;x;1;10;10;3
slab serif;Bumbon;Bumbon Bold;a;2;11;11;0
slab serif;Bumbon;Bumbon Bold;H;1;12;12;0
slab serif;Bumbon;Bumbon Bold;k;1;11;9;5
slab serif;Bumbon;Bumbon Bold;o;2;7;0;15
slab serif;Bumbon;Bumbon Bold;p;2;7;6;8
slab serif;Bumbon;Bumbon Bold;x;1;12;12;0
slab serif;Bumbon;Bumbon Italic;a;2;10;10;3
slab serif;Bumbon;Bumbon Italic;H;1;12;12;0
slab serif;Bumbon;Bumbon Italic;k;1;9;9;4
slab serif;Bumbon;Bumbon Italic;o;2;5;0;15
slab serif;Bumbon;Bumbon Italic;p;2;8;6;5
slab serif;Bumbon;Bumbon Italic;x;1;10;10;4
slab serif;Bumbon;Bumbon Regular;a;2;11;11;0
slab serif;Bumbon;Bumbon Regular;H;1;12;12;0
slab serif;Bumbon;Bumbon Regular;k;1;9;9;2
