category;family;style;glyph;regions;straights;angles;curves
slab serif;Amazing Slab;Amazing Slab Inline Medium;k;4;20;26;9
slab serif;Amazing Slab;Amazing Slab Inline Medium;o;4;14;0;36
slab serif;Amazing Slab;Amazing Slab Inline Medium;p;4;11;13;22
slab serif;Amazing Slab;Amazing Slab Inline Medium;x;4;25;24;17
slab serif;Amazing Slab;Amazing Slab Italic;a;2;9;6;18
slab serif;Amazing Slab;Amazing Slab Italic;H;1;28;28;0
slab serif;Amazing Slab;Amazing Slab Italic;k;1;11;11;11
slab serif;Amazing Slab;Amazing Slab Italic;o;2;6;0;18
slab serif;Amazing Slab;Amazing Slab Italic;p;2;7;7;9
slab serif;Amazing Slab;Amazing Slab Italic;x;1;11;12;7
slab serif;Amazing Slab;Amazing Slab Light Italic;a;2;10;6;15
slab serif;Amazing Slab;Amazing Slab Light Italic;H;1;28;28;0
slab serif;Amazing Slab;Amazing Slab Light Italic;k;1;11;11;10
slab serif;Amazing Slab;Amazing Slab Light Italic;o;2;7;0;21
slab serif;Amazing Slab;Amazing Slab Light Italic;p;2;8;7;11
slab serif;Amazing Slab;Amazing Slab Light Italic;x;1;11;12;6
slab serif;Amazing Slab;Amazing Slab Light;a;2;10;8;18
slab serif;Amazing Slab;Amazing Slab Light;H;1;25;28;0
slab serif;Amazing Slab;Amazing Slab Light;k;1;11;13;5
slab serif;Amazing Slab;Amazing Slab Light;o;2;9;0;20
slab serif;Amazing Slab;Amazing Slab Light;p;2;6;6;12
slab serif;Amazing Slab;Amazing Slab Light;x;1;10;12;10
slab serif;Amazing Slab;Amazing Slab Medium Italic;a;2;8;6;17
slab serif;Amazing Slab;Amazing Slab Medium Italic;H;1;28;28;0
slab serif;Amazing Slab;Amazing Slab Medium Italic;k;1;8;11;8
slab serif;Amazing Slab;Amazing Slab Medium Italic;o;2;7;0;18
slab serif;Amazing Slab;Amazing Slab Medium Italic;p;2;6;6;11
slab serif;Amazing Slab;Amazing Slab Medium Italic;x;1;10;12;8
slab serif;Amazing Slab;Amazing Slab Medium;a;2;9;10;17
slab serif;Amazing Slab;Amazing Slab Medium;H;1;27;28;0
slab serif;Amazing Slab;Amazing Slab Medium;k;1;8;13;7
slab serif;Amazing Slab;Amazing Slab Medium;o;2;4;0;20
slab serif;Amazing Slab;Amazing Slab Medium;p;2;4;7;12
slab serif;Amazing Slab;Amazing Slab Medium;x;1;12;12;10
slab serif;Amazing Slab;Amazing Slab Regular;a;2;8;8;20
slab serif;Amazing Slab;Amazing Slab Regular;H;1;25;28;0
slab serif;Amazing Slab;Amazing Slab Regular;k;1;10;13;5
slab serif;Amazing Slab;Amazing Slab Regular;o;2;6;0;19
slab serif;Amazing Slab;Amazing Slab Regular;p;2;4;6;13
slab serif;Amazing Slab;Amazing Slab Regular;x;1;10;12;10
slab serif;Amazing Slab;Amazing Slab Thin Italic;a;2;8;6;20
slab serif;Amazing Slab;Amazing Slab Thin Italic;H;1;20;20;0
slab serif;Amazing Slab;Amazing Slab Thin Italic;k;2;10;8;9
slab serif;Amazing Slab;Amazing Slab Thin Italic;o;2;6;0;23
slab serif;Amazing Slab;Amazing Slab Thin Italic;p;3;7;4;14
slab serif;Amazing Slab;Amazing Slab Thin Italic;x;1;8;8;4
slab serif;Amazing Slab;Amazing Slab Thin;a;2;12;8;20
slab serif;Amazing Slab;Amazing Slab Thin;H;1;18;20;0
slab serif;Amazing Slab;Amazing Slab Thin;k;1;8;9;4
slab serif;Amazing Slab;Amazing Slab Thin;o;2;15;0;18
slab serif;Amazing Slab;Amazing Slab Thin;p;2;6;4;14
slab serif;Amazing Slab;Amazing Slab Thin;x;1;11;11;8
slab serif;Amazing Slab;Amazing Slab Variable;a;2;12;8;22
slab serif;Amazing Slab;Amazing Slab Variable;H;1;18;20;0
slab serif;Amazing Slab;Amazing Slab Variable;k;1;8;9;4
slab serif;Amazing Slab;Amazing Slab Variable;o;2;11;0;22
slab serif;Amazing Slab;Amazing Slab Variable;p;2;7;4;14
slab serif;Amazing Slab;Amazing Slab Variable;x;1;10;10;8
slab serif;Anaphora;Anaphora Bold Italic;a;3;6;5;16
slab serif;Anaphora;Anaphora Bold Italic;H;1;16;22;7
slab serif;Anaphora;Anaphora Bold Italic;k;1;10;13;7
slab serif;Anaphora;Anaphora Bold Italic;o;2;6;0;18
slab serif;Anaphora;Anaphora Bold Italic;p;2;4;8;13
slab serif;Anaphora;Anaphora Bold Italic;x;1;12;14;13
slab serif;Anaphora;Anaphora Bold;a;2;5;6;17
slab serif;Anaphora;Anaphora Bold;H;1;25;28;3
slab serif;Anaphora;Anaphora Bold;k;1;14;20;8
slab serif;Anaphora;Anaphora Bold;o;2;4;0;20
slab serif;Anaphora;Anaphora Bold;p;2;9;12;12
slab serif;Anaphora;Anaphora Bold;x;1;13;24;10
slab serif;Anaphora;Anaphora Book Italic;a;2;5;5;19
slab serif;Anaphora;Anaphora Book Italic;H;1;23;26;5
slab serif;Anaphora;Anaphora Book Italic;k;1;11;14;10
slab serif;Anaphora;Anaphora Book Italic;o;2;8;0;18
