Category;Family;Style;Connections;Average connections
slab serif;Circe Slab;Circe Slab C Black Italic;1;
slab serif;Circe Slab;Circe Slab C Black;0;
slab serif;Circe Slab;Circe Slab C Bold Italic;0;
slab serif;Circe Slab;Circe Slab C Bold;0;
slab serif;Circe Slab;Circe Slab C Extra Light Italic;0;
slab serif;Circe Slab;Circe Slab C Extra Light;0;
slab serif;Circe Slab;Circe Slab C Italic;0;
slab serif;Circe Slab;Circe Slab C Light Italic;0;
slab serif;Circe Slab;Circe Slab C Light;0;
slab serif;Circe Slab;Circe Slab C Medium Italic;0;
slab serif;Circe Slab;Circe Slab C Medium;0;
slab serif;Circe Slab;Circe Slab C Narrow Light;0;
slab serif;Circe Slab;Circe Slab C Narrow Medium;0;
slab serif;Circe Slab;Circe Slab C Narrow;0;
slab serif;Circe Slab;Circe Slab C Regular;0;
slab serif;Circe Slab;Circe Slab C Thin Italic;0;
slab serif;Circe Slab;Circe Slab C Thin;0;
slab serif;Circe Slab;Circe Slab C Ultra Light Italic;0;
slab serif;Circe Slab;Circe Slab C Ultra Light;0;
slab serif;Ciutadella Slab;Ciutadella Slab Bold Italic;0;
slab serif;Ciutadella Slab;Ciutadella Slab Bold;0;
slab serif;Ciutadella Slab;Ciutadella Slab DEMO Regular;0;
slab serif;Ciutadella Slab;Ciutadella Slab Light Italic;0;
slab serif;Ciutadella Slab;Ciutadella Slab Light;0;
slab serif;Ciutadella Slab;Ciutadella Slab Medium Italic;0;
slab serif;Ciutadella Slab;Ciutadella Slab Medium;0;
slab serif;Ciutadella Slab;Ciutadella Slab Regular Italic;0;
slab serif;Ciutadella Slab;Ciutadella Slab Regular;0;
slab serif;Ciutadella Slab;Ciutadella Slab Semi Bold Italic;0;
slab serif;Ciutadella Slab;Ciutadella Slab Semi Bold;0;
slab serif;Clab;Clab Black Italic;0;
slab serif;Clab;Clab Black;0;
slab serif;Clab;Clab Bold Italic;0;
slab serif;Clab;Clab Bold;0;
slab serif;Clab;Clab Extra Bold Italic;0;
slab serif;Clab;Clab Extra Bold;0;
slab serif;Clab;Clab Hairline Italic;0;
slab serif;Clab;Clab Hairline;0;
slab serif;Clab;Clab Italic;0;
slab serif;Clab;Clab Light Italic;0;
slab serif;Clab;Clab Light;0;
slab serif;Clab;Clab Medium Italic;0;
slab serif;Clab;Clab Medium;0;
slab serif;Clab;Clab Regular;0;
slab serif;Clab;Clab Semi Bold Italic;0;
slab serif;Clab;Clab Semi Bold;0;
slab serif;Clab;Clab Thin Italic;0;
slab serif;Clab;Clab Thin;0;
slab serif;Constant;Constant Bold;0;
slab serif;Constant;Constant Extra Bold;0;
slab serif;Constant;Constant Heavy;0;
slab serif;Constant;Constant Light;0;
slab serif;Constant;Constant Medium;0;
slab serif;Constant;Constant Regular;0;
slab serif;Constant;Constant Thin;0;
slab serif;Conto Slab;Conto Slab Black Italic;0;
slab serif;Conto Slab;Conto Slab Black;0;
slab serif;Conto Slab;Conto Slab Bold Italic;0;
slab serif;Conto Slab;Conto Slab Bold;0;
slab serif;Conto Slab;Conto Slab ExtraBold Italic;0;
slab serif;Conto Slab;Conto Slab ExtraBold;0;
slab serif;Conto Slab;Conto Slab ExtraLight Italic;0;
slab serif;Conto Slab;Conto Slab ExtraLight;0;
slab serif;Conto Slab;Conto Slab Italic;0;
slab serif;Conto Slab;Conto Slab Light Italic;0;
slab serif;Conto Slab;Conto Slab Light;0;
slab serif;Conto Slab;Conto Slab Medium Italic;0;
slab serif;Conto Slab;Conto Slab Medium;0;
slab serif;Conto Slab;Conto Slab Regular;0;
slab serif;Conto Slab;Conto Slab Thin Italic;0;
slab serif;Conto Slab;Conto Slab Thin;0;
slab serif;Coque;Coque Hollow Italic;0;
slab serif;Coque;Coque Hollow;0;
slab serif;Coque;Coque Solid Italic;0;
slab serif;Coque;Coque Solid;0;
slab serif;Coque;Coque Striped Italic;0;
slab serif;Coque;Coque Striped;0;
slab serif;Corporative Slab;Corporative Slab Black Italic;0;
slab serif;Corporative Slab;Corporative Slab Black;0;
slab serif;Corporative Slab;Corporative Slab Bold Italic;0;
slab serif;Corporative Slab;Corporative Slab Bold;0;
slab serif;Corporative Slab;Corporative Slab Book Italic;0;
slab serif;Corporative Slab;Corporative Slab Book;0;
slab serif;Corporative Slab;Corporative Slab Hair Italic;0;
slab serif;Corporative Slab;Corporative Slab Hair;0;
slab serif;Corporative Slab;Corporative Slab Light Italic;0;
slab serif;Corporative Slab;Corporative Slab Light;0;
slab serif;Corporative Slab;Corporative Slab Medium Italic;0;
slab serif;Corporative Slab;Corporative Slab Medium;0;
slab serif;Corporative Slab;Corporative Slab Regular Italic;0;
slab serif;Corporative Slab;Corporative Slab Regular;0;
slab serif;Corporative Slab;Corporative Slab Thin Italic;0;
slab serif;Corporative Slab;Corporative Slab Thin;0;
slab serif;Croog;Croog Bold Italic;0;
slab serif;Croog;Croog Bold;0;
slab serif;Croog;Croog Italic;0;
slab serif;Croog;Croog Light Italic;0;
slab serif;Croog;Croog Light;0;
slab serif;Croog;Croog;0;
slab serif;Crown Heights JNL;Crown Heights JNL;0;
slab serif;Culoare;Culoare Demo;0;
slab serif;Culoare;Culoare Type 10;0;
slab serif;Culoare;Culoare Type 11;0;
slab serif;Culoare;Culoare Type 1;0;
slab serif;Culoare;Culoare Type 2;0;
slab serif;Culoare;Culoare Type 3;0;
slab serif;Culoare;Culoare Type 4;0;
slab serif;Culoare;Culoare Type 5;0;
slab serif;Culoare;Culoare Type 6;0;
slab serif;Culoare;Culoare Type 7;0;
slab serif;Culoare;Culoare Type 8;0;
slab serif;Culoare;Culoare Type 9;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Bold Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Bold;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Extra Bold Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Extra Bold;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Extra Light Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Extra Light;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Light Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Light;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Medium Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Medium;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Regular;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Semi Bold Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Semi Bold;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Thin Italic;0;
slab serif;Cyntho Next Slab;Cyntho Next Slab Thin;0;
slab serif;Dada Slab Pro;Dada Slab Pro ExtraLight;0;
slab serif;Deccan;Deccan Bold Italic;0;
slab serif;Deccan;Deccan Bold;0;
slab serif;Deccan;Deccan Italic;0;
slab serif;Deccan;Deccan Light Italic;0;
slab serif;Deccan;Deccan Light;0;
slab serif;Deccan;Deccan Medium Italic;0;
slab serif;Deccan;Deccan Medium;0;
slab serif;Deccan;Deccan Semibold Italic;0;
slab serif;Deccan;Deccan Semibold;0;
slab serif;Deccan;Deccan;0;
slab serif;DeForme;DeForme Regular;0;
slab serif;Deposit Pro;Deposit Pro Bold Italic;0;
slab serif;Deposit Pro;Deposit Pro Bold;0;
slab serif;Deposit Pro;Deposit Pro Extra Bold Italic;0;
slab serif;Deposit Pro;Deposit Pro Extra Bold;0;
slab serif;Deposit Pro;Deposit Pro Extra Light Italic;0;
slab serif;Deposit Pro;Deposit Pro Extra Light;0;
slab serif;Deposit Pro;Deposit Pro Italic;0;
slab serif;Deposit Pro;Deposit Pro Light Italic;0;
slab serif;Deposit Pro;Deposit Pro Light;0;
slab serif;Deposit Pro;Deposit Pro Medium Italic;0;
slab serif;Deposit Pro;Deposit Pro Medium;0;
slab serif;Deposit Pro;Deposit Pro Regular;0;
slab serif;Deposit Pro;Deposit Pro Semi Bold Italic;0;
slab serif;Deposit Pro;Deposit Pro Semi Bold;0;
slab serif;Deposit Pro;Deposit Pro Thin Italic;0;
slab serif;Deposit Pro;Deposit Pro Thin;0;
slab serif;Dharma Slab™;Dharma Slab Bold Italic;1;
slab serif;Dharma Slab™;Dharma Slab Bold;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Bold Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Bold;1;
slab serif;Dharma Slab™;Dharma Slab Condensed ExtraBold Italic;0;
slab serif;Dharma Slab™;Dharma Slab Condensed ExtraBold;0;
slab serif;Dharma Slab™;Dharma Slab Condensed ExtraLight Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed ExtraLight;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Heavy Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Heavy;0;
slab serif;Dharma Slab™;Dharma Slab Condensed Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Light Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Light;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Regular;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Thin Italic;1;
slab serif;Dharma Slab™;Dharma Slab Condensed Thin;1;
slab serif;Dharma Slab™;Dharma Slab Expanded Bold Italic;1;
slab serif;Dharma Slab™;Dharma Slab Expanded Bold;0;
slab serif;Dharma Slab™;Dharma Slab Expanded ExtraBold Italic;0;
slab serif;Dharma Slab™;Dharma Slab Expanded ExtraBold;0;
slab serif;Dharma Slab™;Dharma Slab Expanded ExtraLight Italic;1;
slab serif;Dharma Slab™;Dharma Slab Expanded ExtraLight;1;
slab serif;Dharma Slab™;Dharma Slab Expanded Heavy Italic;0;
slab serif;Dharma Slab™;Dharma Slab Expanded Heavy;0;
slab serif;Dharma Slab™;Dharma Slab Expanded Italic;1;
slab serif;Dharma Slab™;Dharma Slab Expanded Light Italic;0;
slab serif;Dharma Slab™;Dharma Slab Expanded Light;0;
slab serif;Dharma Slab™;Dharma Slab Expanded Regular;0;
slab serif;Dharma Slab™;Dharma Slab Expanded Thin Italic;1;
slab serif;Dharma Slab™;Dharma Slab Expanded Thin;1;
slab serif;Dharma Slab™;Dharma Slab ExtraBold Italic;1;
slab serif;Dharma Slab™;Dharma Slab ExtraBold;0;
slab serif;Dharma Slab™;Dharma Slab ExtraLight Italic;1;
slab serif;Dharma Slab™;Dharma Slab ExtraLight;0;
slab serif;Dharma Slab™;Dharma Slab Heavy Italic;0;
slab serif;Dharma Slab™;Dharma Slab Heavy;0;
slab serif;Dharma Slab™;Dharma Slab Italic;1;
slab serif;Dharma Slab™;Dharma Slab Light Italic;1;
slab serif;Dharma Slab™;Dharma Slab Light;1;
slab serif;Dharma Slab™;Dharma Slab Regular;1;
slab serif;Dharma Slab™;Dharma Slab Thin Italic;1;
slab serif;Dharma Slab™;Dharma Slab Thin;1;
slab serif;Diaria Pro;Diaria Pro Bold Italic;0;
slab serif;Diaria Pro;Diaria Pro Bold;0;
slab serif;Diaria Pro;Diaria Pro Extra Bold Italic;0;
slab serif;Diaria Pro;Diaria Pro Extra Bold;0;
slab serif;Diaria Pro;Diaria Pro Italic;0;
slab serif;Diaria Pro;Diaria Pro Light Italic;0;
slab serif;Diaria Pro;Diaria Pro Light;0;
slab serif;Diaria Pro;Diaria Pro Medium Italic;0;
slab serif;Diaria Pro;Diaria Pro Medium;0;
slab serif;Diaria Pro;Diaria Pro Regular;0;
slab serif;Diaria Pro;Diaria Pro Semi Bold Italic;0;
slab serif;Diaria Pro;Diaria Pro Semi Bold;0;
slab serif;DIN Next Slab™;DIN Next Slab Black Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Black;0;
slab serif;DIN Next Slab™;DIN Next Slab Bold Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Bold;0;
slab serif;DIN Next Slab™;DIN Next Slab Heavy Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Heavy;0;
slab serif;DIN Next Slab™;DIN Next Slab Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Light Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Light;0;
slab serif;DIN Next Slab™;DIN Next Slab Medium Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Medium;0;
slab serif;DIN Next Slab™;DIN Next Slab;0;
slab serif;DIN Next Slab™;DIN Next Slab Ultra Light Italic;0;
slab serif;DIN Next Slab™;DIN Next Slab Ultra Light;0;
slab serif;Donau;Donau Alte;0;
slab serif;Donau;Donau Neue;0;
slab serif;EB Mensch;EB Mensch Black Italic;1;
slab serif;EB Mensch;EB Mensch Black;1;
slab serif;EB Mensch;EB Mensch Bold Italic;0;
slab serif;EB Mensch;EB Mensch Bold;0;
slab serif;EB Mensch;EB Mensch Extra Bold Italic;0;
slab serif;EB Mensch;EB Mensch Extra Bold;0;
slab serif;EB Mensch;EB Mensch Light Italic;0;
slab serif;EB Mensch;EB Mensch Light;0;
slab serif;EB Mensch;EB Mensch Medium Italic;0;
slab serif;EB Mensch;EB Mensch Medium;0;
slab serif;EB Mensch;EB Mensch Regular Italic;0;
slab serif;EB Mensch;EB Mensch Regular;0;
slab serif;EB Mensch;EB Mensch Semi Bold Italic;0;
slab serif;EB Mensch;EB Mensch Semi Bold;0;
slab serif;EB Mensch;EB Mensch Serif Black Italic;1;
slab serif;EB Mensch;EB Mensch Serif Black;0;
slab serif;EB Mensch;EB Mensch Serif Bold Italic;0;
slab serif;EB Mensch;EB Mensch Serif Bold;0;
slab serif;EB Mensch;EB Mensch Serif Extra Bold Italic;0;
slab serif;EB Mensch;EB Mensch Serif Extra Bold;0;
slab serif;EB Mensch;EB Mensch Serif Light Italic;0;
slab serif;EB Mensch;EB Mensch Serif Light;0;
slab serif;EB Mensch;EB Mensch Serif Medium Italic;0;
slab serif;EB Mensch;EB Mensch Serif Medium;0;
slab serif;EB Mensch;EB Mensch Serif Regular Italic;1;
slab serif;EB Mensch;EB Mensch Serif Regular;1;
slab serif;EB Mensch;EB Mensch Serif Semi Bold Italic;0;
slab serif;EB Mensch;EB Mensch Serif Semi Bold;0;
slab serif;EB Mensch;EB Mensch Serif Thin Italic;1;
slab serif;EB Mensch;EB Mensch Serif Thin;0;
slab serif;EB Mensch;EB Mensch Thin Italic;0;
slab serif;EB Mensch;EB Mensch Thin;0;
slab serif;Echoes Slab;Echoes Slab Black Italic;0;
slab serif;Echoes Slab;Echoes Slab Black;0;
slab serif;Echoes Slab;Echoes Slab Bold Italic;0;
slab serif;Echoes Slab;Echoes Slab Bold;0;
slab serif;Echoes Slab;Echoes Slab Italic;0;
slab serif;Echoes Slab;Echoes Slab Light Italic;0;
slab serif;Echoes Slab;Echoes Slab Light;0;
slab serif;Echoes Slab;Echoes Slab Medium Italic;0;
slab serif;Echoes Slab;Echoes Slab Medium;0;
slab serif;Echoes Slab;Echoes Slab Thin Italic;0;
slab serif;Echoes Slab;Echoes Slab Thin;0;
slab serif;Echoes Slab;Echoes Slab;0;
slab serif;Egyptienne75 Black;Egyptienne75 Black Regular;0;
slab serif;Equip Slab;Equip Slab Black Italic;0;
slab serif;Equip Slab;Equip Slab Black;0;
slab serif;Equip Slab;Equip Slab Bold Italic;1;
slab serif;Equip Slab;Equip Slab Bold;0;
slab serif;Equip Slab;Equip Slab ExtraBold Italic;0;
slab serif;Equip Slab;Equip Slab ExtraBold;0;
slab serif;Equip Slab;Equip Slab ExtraLight Italic;1;
slab serif;Equip Slab;Equip Slab ExtraLight;0;
slab serif;Equip Slab;Equip Slab Italic;1;
slab serif;Equip Slab;Equip Slab Light Italic;1;
slab serif;Equip Slab;Equip Slab Light;0;
slab serif;Equip Slab;Equip Slab Medium Italic;1;
slab serif;Equip Slab;Equip Slab Medium;0;
slab serif;Equip Slab;Equip Slab Thin Italic;1;
slab serif;Equip Slab;Equip Slab Thin;0;
slab serif;Equip Slab;Equip Slab;0;
slab serif;Eris Pro;Eris Pro Black Italic;0;
slab serif;Eris Pro;Eris Pro Black;0;
slab serif;Eris Pro;Eris Pro Extra Light Italic;0;
slab serif;Eris Pro;Eris Pro Extra Light;0;
slab serif;Eris Pro;Eris Pro High Book Italic;0;
slab serif;Eris Pro;Eris Pro High Book;0;
slab serif;Eris Pro;Eris Pro High Heavy Italic;0;
slab serif;Eris Pro;Eris Pro High Heavy;0;
slab serif;Eris Pro;Eris Pro High Light Italic;0;
slab serif;Eris Pro;Eris Pro High Light;0;
slab serif;Eris Pro;Eris Pro High Medium Italic;0;
slab serif;Eris Pro;Eris Pro High Medium;0;
slab serif;Eris Pro;Eris Pro Italic;0;
slab serif;Eris Pro;Eris Pro Regular;0;
slab serif;Eris Pro;Eris Pro Semi Bold Italic;0;
slab serif;Eris Pro;Eris Pro Semi Bold;0;
slab serif;Eris Pro;Eris Pro Strap Italic;0;
slab serif;Eris Pro;Eris Pro Strap;0;
slab serif;Eroika Slab™;Eroika Slab Black Italic;0;
slab serif;Eroika Slab™;Eroika Slab Black;0;
slab serif;Eroika Slab™;Eroika Slab Bold Italic;0;
slab serif;Eroika Slab™;Eroika Slab Bold;0;
slab serif;Eroika Slab™;Eroika Slab Light Italic;0;
slab serif;Eroika Slab™;Eroika Slab Light;0;
slab serif;Eroika Slab™;Eroika Slab Medium Italic;0;
slab serif;Eroika Slab™;Eroika Slab Medium;0;
slab serif;Eroika Slab™;Eroika Slab Regular Italic;0;
slab serif;Eroika Slab™;Eroika Slab Regular;0;
slab serif;Esquina College;Esquina College Black;1;
slab serif;Esquina College;Esquina College Bold;0;
slab serif;Esquina College;Esquina College Medium;0;
slab serif;Esquina College;Esquina College Regular;0;
slab serif;Esquina;Esquina Black Italic;0;
slab serif;Esquina;Esquina Black;0;
slab serif;Esquina;Esquina Bold Italic;0;
slab serif;Esquina;Esquina Bold;0;
slab serif;Esquina;Esquina Italic;0;
slab serif;Esquina;Esquina Light Italic;0;
slab serif;Esquina;Esquina Light;0;
slab serif;Esquina;Esquina Medium Italic;0;
slab serif;Esquina;Esquina Medium;0;
slab serif;Esquina;Esquina Regular;0;
slab serif;Esquina;Esquina Thin Italic;0;
slab serif;Esquina;Esquina Thin;0;
slab serif;Esquina Outline;Esquina Outline Black;0;
slab serif;Esquina Outline;Esquina Outline Bold;0;
slab serif;Esquina Outline;Esquina Outline Medium;0;
slab serif;Esquina Outline;Esquina Outline Regular;0;
slab serif;Esquina Rounded;Esquina Rounded Black Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Black;0;
slab serif;Esquina Rounded;Esquina Rounded Bold Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Bold;0;
slab serif;Esquina Rounded;Esquina Rounded Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Light Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Light;0;
slab serif;Esquina Rounded;Esquina Rounded Medium Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Medium;0;
slab serif;Esquina Rounded;Esquina Rounded Regular;0;
slab serif;Esquina Rounded;Esquina Rounded Thin Italic;0;
slab serif;Esquina Rounded;Esquina Rounded Thin;0;
slab serif;Esquina Stencil;Esquina Stencil Black Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Black;0;
slab serif;Esquina Stencil;Esquina Stencil Bold Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Bold;0;
slab serif;Esquina Stencil;Esquina Stencil Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Light Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Light;0;
slab serif;Esquina Stencil;Esquina Stencil Medium Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Medium;0;
slab serif;Esquina Stencil;Esquina Stencil Regular;0;
slab serif;Esquina Stencil;Esquina Stencil Thin Italic;0;
slab serif;Esquina Stencil;Esquina Stencil Thin;0;
slab serif;Exo Slab Pro;Exo Slab Pro Black Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Black;0;
slab serif;Exo Slab Pro;Exo Slab Pro Bold Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Bold;0;
slab serif;Exo Slab Pro;Exo Slab Pro ExtraBold Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro ExtraBold;0;
slab serif;Exo Slab Pro;Exo Slab Pro ExtraLight Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro ExtraLight;0;
slab serif;Exo Slab Pro;Exo Slab Pro Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Light Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Light;0;
slab serif;Exo Slab Pro;Exo Slab Pro Medium Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Medium;0;
slab serif;Exo Slab Pro;Exo Slab Pro SemiBold Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro SemiBold;0;
slab serif;Exo Slab Pro;Exo Slab Pro Thin Italic;0;
slab serif;Exo Slab Pro;Exo Slab Pro Thin;0;
slab serif;Exo Slab Pro;Exo Slab Pro;0;
slab serif;Fd Boldie Slab;Fd Boldie Slab Condensed;0;
slab serif;Fd Boldie Slab;Fd Boldie Slab Regular;0;
slab serif;Fd Boldie Slab;Fd Boldie Slab Semi Condensed;0;
slab serif;Fd Boldie Slab;Fd Boldie Slab Semi Expanded;0;
slab serif;FF Avance™;FF Avance Pro Bold Italic;-;
slab serif;FF Avance™;FF Avance Pro Bold;-;
slab serif;FF Avance™;FF Avance Pro Regular Italic;-;
slab serif;FF Avance™;FF Avance Pro Regular;-;
slab serif;FF Avance™;FF Avance Std Bold Italic;-;
slab serif;FF Avance™;FF Avance Std Bold;-;
slab serif;FF Avance™;FF Avance Std Regular Italic;-;
slab serif;FF Avance™;FF Avance Std Regular;-;
slab serif;Finador Slab;Finador Slab Black Oblique;0;
slab serif;Finador Slab;Finador Slab Black;0;
slab serif;Finador Slab;Finador Slab Bold Oblique;0;
slab serif;Finador Slab;Finador Slab Bold;0;
slab serif;Finador Slab;Finador Slab Extra Light Oblique;0;
slab serif;Finador Slab;Finador Slab Extra Light;0;
slab serif;Finador Slab;Finador Slab Heavy Oblique;0;
slab serif;Finador Slab;Finador Slab Heavy;0;
slab serif;Finador Slab;Finador Slab Light Oblique;0;
slab serif;Finador Slab;Finador Slab Light;0;
slab serif;Finador Slab;Finador Slab Medium Oblique;0;
slab serif;Finador Slab;Finador Slab Medium;0;
slab serif;Finador Slab;Finador Slab Regular Oblique;0;
slab serif;Finador Slab;Finador Slab Regular;0;
slab serif;Finador Slab;Finador Slab Thin Oblique;0;
slab serif;Finador Slab;Finador Slab Thin;0;
slab serif;Finalist Round Slab Variable;Finalist Round Slab Variable Thin;0;
slab serif;Flamante Serif;Flamante Serif Bold Italic;0;
slab serif;Flamante Serif;Flamante Serif Bold;0;
slab serif;Flamante Serif;Flamante Serif Book Italic;0;
slab serif;Flamante Serif;Flamante Serif Book;0;
slab serif;Flamante Serif;Flamante Serif Light Italic;0;
slab serif;Flamante Serif;Flamante Serif Light;0;
slab serif;Flamante Serif;Flamante Serif Medium Italic;0;
slab serif;Flamante Serif;Flamante Serif Medium;0;
slab serif;Fraktendon;Fraktendon;0;
slab serif;Ganges Slab™;Ganges Slab Black Italic;0;
slab serif;Ganges Slab™;Ganges Slab Black Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Black;0;
slab serif;Ganges Slab™;Ganges Slab Bold Italic;0;
slab serif;Ganges Slab™;Ganges Slab Bold Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Bold;0;
slab serif;Ganges Slab™;Ganges Slab Book Italic;0;
slab serif;Ganges Slab™;Ganges Slab Book Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Book;0;
slab serif;Ganges Slab™;Ganges Slab Demi Bold Italic;1;
slab serif;Ganges Slab™;Ganges Slab Demi Bold Oblique;1;
slab serif;Ganges Slab™;Ganges Slab Demi Bold;0;
slab serif;Ganges Slab™;Ganges Slab Italic;0;
slab serif;Ganges Slab™;Ganges Slab Light Italic;0;
slab serif;Ganges Slab™;Ganges Slab Light Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Light;0;
slab serif;Ganges Slab™;Ganges Slab Medium Italic;1;
slab serif;Ganges Slab™;Ganges Slab Medium Oblique;1;
slab serif;Ganges Slab™;Ganges Slab Medium;0;
slab serif;Ganges Slab™;Ganges Slab Regular Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Regular;0;
slab serif;Ganges Slab™;Ganges Slab Thin Italic;0;
slab serif;Ganges Slab™;Ganges Slab Thin Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Thin;0;
slab serif;Ganges Slab™;Ganges Slab Ultra Light Italic;0;
slab serif;Ganges Slab™;Ganges Slab Ultra Light Oblique;0;
slab serif;Ganges Slab™;Ganges Slab Ultra Light;0;
slab serif;Gazeta Slab;Gazeta Slab Bold Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Bold;0;
slab serif;Gazeta Slab;Gazeta Slab Book Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Book;0;
slab serif;Gazeta Slab;Gazeta Slab Demi Bold Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Demi Bold;0;
slab serif;Gazeta Slab;Gazeta Slab Extra Bold Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Extra Bold;0;
slab serif;Gazeta Slab;Gazeta Slab Extra Light Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Extra Light;0;
slab serif;Gazeta Slab;Gazeta Slab Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Light Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Light;0;
slab serif;Gazeta Slab;Gazeta Slab Medium Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Medium;0;
slab serif;Gazeta Slab;Gazeta Slab Regular;0;
slab serif;Gazeta Slab;Gazeta Slab Semi Bold Italic;0;
slab serif;Gazeta Slab;Gazeta Slab Semi Bold;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Bold Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Bold;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Demo;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Light Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Light;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Medium Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Medium;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Regular Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Regular;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Semi Bold Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Semi Bold;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Thin Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Thin;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Ultra Light Italic;0;
slab serif;Geogrotesque Slab;Geogrotesque Slab Ultra Light;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Bold Condensed;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Bold Italic;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Bold;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 ExtraBold Condensed;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 ExtraBold Italic;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 ExtraBold;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Light Italic;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Light;0;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Medium Condensed;1;
slab serif;Geometric Slabserif 703;Geometric Slabserif 703 Medium Italic;0;
