Category;Family;Style;Connections;Average connections
slab serif;Artegra Slab;Artegra Slab Condensed ExtraBold Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed ExtraBold;0;
slab serif;Artegra Slab;Artegra Slab Condensed ExtraLight Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed ExtraLight;0;
slab serif;Artegra Slab;Artegra Slab Condensed Light Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed Light;0;
slab serif;Artegra Slab;Artegra Slab Condensed Medium Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed Medium;0;
slab serif;Artegra Slab;Artegra Slab Condensed Regular Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed Regular;0;
slab serif;Artegra Slab;Artegra Slab Condensed SemiBold Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed SemiBold;0;
slab serif;Artegra Slab;Artegra Slab Condensed Thin Italic;0;
slab serif;Artegra Slab;Artegra Slab Condensed Thin;0;
slab serif;Artegra Slab;Artegra Slab Extended Black Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Black;0;
slab serif;Artegra Slab;Artegra Slab Extended Bold Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Bold;0;
slab serif;Artegra Slab;Artegra Slab Extended ExtraBold Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended ExtraBold;0;
slab serif;Artegra Slab;Artegra Slab Extended ExtraLight Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended ExtraLight;0;
slab serif;Artegra Slab;Artegra Slab Extended Light Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Light;0;
slab serif;Artegra Slab;Artegra Slab Extended Medium Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Medium;0;
slab serif;Artegra Slab;Artegra Slab Extended Regular Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Regular;0;
slab serif;Artegra Slab;Artegra Slab Extended SemiBold Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended SemiBold;0;
slab serif;Artegra Slab;Artegra Slab Extended Thin Italic;0;
slab serif;Artegra Slab;Artegra Slab Extended Thin;0;
slab serif;Artegra Slab;Artegra Slab ExtraBold Italic;0;
slab serif;Artegra Slab;Artegra Slab ExtraBold;0;
slab serif;Artegra Slab;Artegra Slab ExtraLight Italic;0;
slab serif;Artegra Slab;Artegra Slab ExtraLight;0;
slab serif;Artegra Slab;Artegra Slab Light Italic;0;
slab serif;Artegra Slab;Artegra Slab Light;0;
slab serif;Artegra Slab;Artegra Slab Medium Italic;0;
slab serif;Artegra Slab;Artegra Slab Medium;0;
slab serif;Artegra Slab;Artegra Slab Regular Italic;0;
slab serif;Artegra Slab;Artegra Slab Regular;0;
slab serif;Artegra Slab;Artegra Slab SemiBold Italic;0;
slab serif;Artegra Slab;Artegra Slab SemiBold;0;
slab serif;Artegra Slab;Artegra Slab Thin Italic;0;
slab serif;Artegra Slab;Artegra Slab Thin;0;
slab serif;Astroph;Astroph  Aged;0;
slab serif;Astroph;Astroph  Regular;0;
slab serif;Astroph;Astroph  Rough;0;
slab serif;Aterline;Aterline Bold Italic;0;
slab serif;Aterline;Aterline Bold;0;
slab serif;Aterline;Aterline Italic;0;
slab serif;Aterline;Aterline Regular;0;
slab serif;AT Move Specx Stncl™;AT Move Specx Stncl;0;
slab serif;AT Move Specx™;AT Move Specx;0;
slab serif;Attorney;Attorney Black Italic;0;
slab serif;Attorney;Attorney Black;0;
slab serif;Attorney;Attorney Bold Italic;0;
slab serif;Attorney;Attorney Bold;0;
slab serif;Attorney;Attorney Extralight Italic;0;
slab serif;Attorney;Attorney Extralight;0;
slab serif;Attorney;Attorney Italic;0;
slab serif;Attorney;Attorney Light Italic;0;
slab serif;Attorney;Attorney Light;0;
slab serif;Attorney;Attorney Medium Italic;0;
slab serif;Attorney;Attorney Medium;0;
slab serif;Attorney;Attorney Regular;0;
slab serif;Attorney;Attorney Semibold Italic;0;
slab serif;Attorney;Attorney Semibold;0;
slab serif;Ballege;Ballege Black Oblique;0;
slab serif;Ballege;Ballege Black;0;
slab serif;Ballege;Ballege Bold Oblique;0;
slab serif;Ballege;Ballege Bold;0;
slab serif;Ballege;Ballege Light Oblique;0;
slab serif;Ballege;Ballege Light;0;
slab serif;Ballege;Ballege Oblique;0;
slab serif;Ballege;Ballege;0;
slab serif;Ballege;Ballege UltraLight Oblique;0;
slab serif;Ballege;Ballege UltraLight;0;
slab serif;Battleslab;Battleslab Black;0;
slab serif;Battleslab;Battleslab Light;0;
slab serif;Bear Anark;Bear Anark Bold Italic;0;
slab serif;Bear Anark;Bear Anark Bold;0;
slab serif;Bear Anark;Bear Anark Extra Bold Italic;0;
slab serif;Bear Anark;Bear Anark Extra Bold;0;
slab serif;Bear Anark;Bear Anark Italic;0;
slab serif;Bear Anark;Bear Anark Light Italic;0;
slab serif;Bear Anark;Bear Anark Light;0;
slab serif;Bear Anark;Bear Anark Regular;0;
slab serif;Bear Anark;Bear Anark Thin Italic;0;
slab serif;Bear Anark;Bear Anark Thin;0;
slab serif;BearButte™;BearButte BearButte;0;
slab serif;BearButte™;BearButte Bold Italic;0;
slab serif;BearButte™;BearButte Bold;0;
slab serif;BearButte™;BearButte Italic;0;
slab serif;BearButte™;BearButte Special;0;
slab serif;Belco™;Belco Light Slab Serif;0;
slab serif;Belco™;Belco Light;0;
slab serif;Belco™;Belco Slab Serif;0;
slab serif;Belco™;Belco Slab Serif UltraLight;0;
slab serif;Belco™;Belco;0;
slab serif;Belco™;Belco UltraLight SC;0;
slab serif;Belco™;Belco UltraLight;0;
slab serif;Bellagium;Bellagium Regular;0;
slab serif;Bodrum Slab;Bodrum Slab 10 Hairline Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 10 Hairline;0;
slab serif;Bodrum Slab;Bodrum Slab 11 Thin Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 11 Thin;0;
slab serif;Bodrum Slab;Bodrum Slab 12 Extra Light Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 12 Extra Light;0;
slab serif;Bodrum Slab;Bodrum Slab 13 Light Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 13 Light;0;
slab serif;Bodrum Slab;Bodrum Slab 14 Regular Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 14 Regular;0;
slab serif;Bodrum Slab;Bodrum Slab 15 Medium Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 15 Medium;0;
slab serif;Bodrum Slab;Bodrum Slab 16 Bold Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 16 Bold;0;
slab serif;Bodrum Slab;Bodrum Slab 17 Extra Bold Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 17 Extra Bold;0;
slab serif;Bodrum Slab;Bodrum Slab 18 Heavy Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 18 Heavy;0;
slab serif;Bodrum Slab;Bodrum Slab 19 Black Italic;0;
slab serif;Bodrum Slab;Bodrum Slab 19 Black;0;
slab serif;Bodrum Style;Bodrum Style 10 Hairline Italic;0;
slab serif;Bodrum Style;Bodrum Style 10 Hairline;0;
slab serif;Bodrum Style;Bodrum Style 11 Thin Italic;0;
slab serif;Bodrum Style;Bodrum Style 11 Thin;0;
slab serif;Bodrum Style;Bodrum Style 12 Extra Light Italic;0;
slab serif;Bodrum Style;Bodrum Style 12 Extra Light;0;
slab serif;Bodrum Style;Bodrum Style 13 Light Italic;0;
slab serif;Bodrum Style;Bodrum Style 13 Light;0;
slab serif;Bodrum Style;Bodrum Style 14 Regular Italic;0;
slab serif;Bodrum Style;Bodrum Style 14 Regular;0;
slab serif;Bodrum Style;Bodrum Style 15 Medium Italic;0;
slab serif;Bodrum Style;Bodrum Style 15 Medium;0;
slab serif;Bodrum Style;Bodrum Style 16 Bold Italic;0;
slab serif;Bodrum Style;Bodrum Style 16 Bold;0;
slab serif;Bodrum Style;Bodrum Style 17 Extra Bold Italic;0;
slab serif;Bodrum Style;Bodrum Style 17 Extra Bold;0;
slab serif;Bodrum Style;Bodrum Style 18 Heavy Italic;0;
slab serif;Bodrum Style;Bodrum Style 18 Heavy;0;
slab serif;Bodrum Style;Bodrum Style 19 Black Italic;0;
slab serif;Bodrum Style;Bodrum Style 19 Black;0;
slab serif;Bogue Slab;Bogue Slab Black Italic;0;
slab serif;Bogue Slab;Bogue Slab Black;0;
slab serif;Bogue Slab;Bogue Slab Bold Italic;0;
slab serif;Bogue Slab;Bogue Slab Bold;0;
slab serif;Bogue Slab;Bogue Slab Extrabold Italic;0;
slab serif;Bogue Slab;Bogue Slab Extrabold;0;
slab serif;Bogue Slab;Bogue Slab Italic;0;
slab serif;Bogue Slab;Bogue Slab Light Italic;0;
slab serif;Bogue Slab;Bogue Slab Light;0;
slab serif;Bogue Slab;Bogue Slab Medium Italic;0;
slab serif;Bogue Slab;Bogue Slab Medium;0;
slab serif;Bogue Slab;Bogue Slab Regular;0;
slab serif;Bogue Slab;Bogue Slab Semibold Italic;0;
slab serif;Bogue Slab;Bogue Slab Semibold;0;
slab serif;Bogue Slab;Bogue Slab Thin Italic;0;
slab serif;Bogue Slab;Bogue Slab Thin;0;
slab serif;Bolchray;Bolchray Regular;0;
slab serif;Breakers Slab™;Breakers Slab Black;0;
slab serif;Breakers Slab™;Breakers Slab Bold;0;
slab serif;Breakers Slab™;Breakers Slab Light;0;
slab serif;Breakers Slab™;Breakers Slab Thin;0;
slab serif;Breakers Slab™;Breakers Slab;0;
slab serif;Breakers Slab™;Breakers Slab Ultra;0;
slab serif;Bree Serif;Bree Serif Bold Italic;0;
slab serif;Bree Serif;Bree Serif Bold;0;
slab serif;Bree Serif;Bree Serif ExtraBold Italic;0;
slab serif;Bree Serif;Bree Serif ExtraBold;1;
slab serif;Bree Serif;Bree Serif Italic;0;
slab serif;Bree Serif;Bree Serif Light Italic;0;
slab serif;Bree Serif;Bree Serif Light;0;
slab serif;Bree Serif;Bree Serif SemiBold Italic;0;
slab serif;Bree Serif;Bree Serif SemiBold;0;
slab serif;Bree Serif;Bree Serif Thin Italic;0;
slab serif;Bree Serif;Bree Serif Thin;0;
slab serif;Bree Serif;Bree Serif;0;
slab serif;Breton;Breton Black Italic;0;
slab serif;Breton;Breton Black;0;
slab serif;Breton;Breton Bold Italic;0;
slab serif;Breton;Breton Bold;0;
slab serif;Breton;Breton Book Italic;0;
slab serif;Breton;Breton Book;0;
slab serif;Breton;Breton Hair Italic;0;
slab serif;Breton;Breton Hair;0;
slab serif;Breton;Breton Light Italic;0;
slab serif;Breton;Breton Light;0;
slab serif;Breton;Breton Medium Italic;0;
slab serif;Breton;Breton Medium;0;
slab serif;Breton;Breton Regular Italic;0;
slab serif;Breton;Breton Regular;0;
slab serif;Breton;Breton Semi Bold Italic;0;
slab serif;Breton;Breton Semi Bold;0;
slab serif;Breton;Breton Thin Italic;0;
slab serif;Breton;Breton Thin;0;
slab serif;Breton;Breton Ultra Light Italic;0;
slab serif;Breton;Breton Ultra Light;0;
slab serif;Breve Slab Text;Breve Slab Text Black Italic;0;
slab serif;Breve Slab Text;Breve Slab Text Black;0;
