Category;Family;StyleName;Slope
slab serif;Artegra Slab;Artegra Slab Black Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Black;90.0
slab serif;Artegra Slab;Artegra Slab Bold Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Bold;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Black Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Black;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Bold Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Bold;90.0
slab serif;Artegra Slab;Artegra Slab Condensed ExtraBold Italic;-
slab serif;Artegra Slab;Artegra Slab Condensed ExtraBold;90.0
slab serif;Artegra Slab;Artegra Slab Condensed ExtraLight Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed ExtraLight;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Light Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Light;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Medium Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Medium;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Regular Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Regular;90.0
slab serif;Artegra Slab;Artegra Slab Condensed SemiBold Italic;-
slab serif;Artegra Slab;Artegra Slab Condensed SemiBold;90.0
slab serif;Artegra Slab;Artegra Slab Condensed Thin Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Condensed Thin;90.0
slab serif;Artegra Slab;Artegra Slab Extended Black Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Black;90.0
slab serif;Artegra Slab;Artegra Slab Extended Bold Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended Bold;90.0
slab serif;Artegra Slab;Artegra Slab Extended ExtraBold Italic;180.0
slab serif;Artegra Slab;Artegra Slab Extended ExtraBold;90.0
slab serif;Artegra Slab;Artegra Slab Extended ExtraLight Italic;99.99999904632568
slab serif;Artegra Slab;Artegra Slab Extended ExtraLight;90.0
